¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ğ(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.02471
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64598
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.19083
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 14.88654
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 14.67641
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 14.57125
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 14.52324
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 14.5641
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 14.66194
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 14.81565
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 15.11981
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 15.62771
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 15.80389
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 15.86674
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 15.83559
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 15.7042
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 15.43971
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.576498
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.817799
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.078156
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.347954
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.640274
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.958068
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.304735
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.67675
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.104975
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.579163
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.99033
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38673
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81758
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36051
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01572
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63977
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18407
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 15.26223
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 14.99103
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 14.85645
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 14.79014
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 14.83285
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 14.92064
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 15.07984
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 15.38043
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 15.90725
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 16.09609
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 16.16687
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 16.13711
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 16.00079
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 15.72324
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.574844
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.81603
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.076414
á(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.346034
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.638222
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.955829
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.302284
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.66705
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.092937
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.565809
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.98086
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37648
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83581
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36893
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00696
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63438
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17817
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.77625
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.75222
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.73045
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.73441
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.69368
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.67865
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.66583
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 15.65233
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 16.18822
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 16.40172
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 16.48104
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 16.45284
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 16.31127
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 16.01974
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.573158
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.814202
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.074646
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.344138
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.636135
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.953581
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.299847
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.66469
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.080889
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.552462
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.971796
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36669
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85554
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38753
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99847
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62978
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17686
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.66582
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.83668
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.9776
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 15.02086
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.97178
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.81686
å(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.5562
(411.41, 14.49, 245.85) (437.41, 8.60, 235.79) (2.32, 1.85, 2.92) Tools 14.54566
(411.41, 14.49, 245.85) (439.09, 8.60, 236.65) (2.32, 1.85, 2.92) Tools 16.46747
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 16.72165
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 16.81022
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 16.78374
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 16.63656
(411.41, 14.49, 245.85) (438.43, 9.89, 235.53) (2.32, 1.85, 2.92) Tools 16.33004
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.571428
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.812326
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.072659
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.342216
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.634053
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.951323
(411.41, 14.49, 245.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.297367
