¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ã(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.598531
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.085536
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32969
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99657
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70647
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51231
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4394
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.51976
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84131
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.34533
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.20844
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.48451
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.19106
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.331642
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.499767
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.683742
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.883412
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.098565
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.331034
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.58222
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.8471
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.134859
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.449028
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.794136
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.17604
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.598648
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.741758
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33121
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.99795
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70675
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51262
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4398
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.52942
(381.30, 14.12, 264.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.85281
