¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
©(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.788953
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.084027
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.412658
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.775393
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.169205
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.59868
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.063314
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.583719
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15747
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.81146
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52616
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.33365
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.2558
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.33267
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.56305
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.0775
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.20449
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.86454
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.646554
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.7809
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.924129
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.076988
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.240446
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.415617
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.602819
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.802916
(397.04, 14.25, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.018491
