¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í (381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.096532
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.422124
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.806287
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.233683
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.340459
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.945352
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66594
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47685
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48988
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.59753
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.5678
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.53381
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.239668
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.356535
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.480716
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.619116
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.76072
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.912036
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.074069
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.247967
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.435047
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.636831
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.855084
(381.76, 10.78, 326.15) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.091864
