¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¬(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.267622
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.722155
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.227449
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.810566
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.45354
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.25534
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.22399
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.34451
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.69281
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.42597
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12055
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.19635
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.996431
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.149086
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.308114
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.478537
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.665612
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.866818
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.083786
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.314384
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.564426
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.841003
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.143021
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.474208
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.838834
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.242146
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.693547
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.195371
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.773323
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.41119
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.19868
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.16311
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.27019
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.60368
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.29669
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.97
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.97761
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.987131
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.139167
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.297775
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.467523
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.653786
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.854093
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.070053
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.299932
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.54872
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.823895
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.124316
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.453666
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.816183
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.217049
Ç(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.665374
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.16379
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.736679
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.36954
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.14281
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.10319
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.19708
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.51614
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.58207
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.82268
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.76405
(375.17, 14.41, 299.94) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 24.25687
(375.17, 14.41, 299.94) (414.67, 7.96, 307.96) (1.35, 0.85, 0.50) Fence 24.2375
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.977943
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.129369
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.287583
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.456648
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.642113
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.841534
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.056504
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.285697
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.533228
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.807023
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.105875
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.433421
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.793866
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.192327
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.637631
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.132704
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.700627
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32859
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08773
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.04507
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.1268
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.43015
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.44696
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.67843
(375.17, 14.41, 299.94) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 22.38688
(375.17, 14.41, 299.94) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 22.52018
(375.17, 14.41, 299.94) (412.44, 7.96, 307.56) (1.42, 0.85, 0.85) Fence 22.65848
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.96887
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.119694
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.277539
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.445914
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.630595
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.82914
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.043137
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.271676
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.517953
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.790391
(375.17, 14.41, 299.94) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.087701
