¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ñ(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.099317
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.32852
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.577145
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.847257
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.170575
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.538456
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.947377
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.330733
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.745233
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.206758
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.732463
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.29572
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58451
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30457
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12211
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.05829
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.14079
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.21328
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.4077
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.43916
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.43194
(335.11, 7.47, 357.38) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 21.72867
(335.11, 7.47, 357.38) (347.33, 0.33, 387.20) (2.15, 0.67, 3.99) Tools 21.81058
(335.11, 7.47, 357.38) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 24.88493
(335.11, 7.47, 357.38) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 24.86583
(335.11, 7.47, 357.38) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 24.85047
(335.11, 7.47, 357.38) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 24.83883
(335.11, 7.47, 357.38) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 24.8309
(335.11, 7.47, 357.38) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 24.82669
(335.11, 7.47, 357.38) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 24.82618
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.103035
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.332539
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.581243
(335.11, 7.47, 357.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.851716
