¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¿(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.89517
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.88374
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.24969
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.03748
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.41861
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.37713
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.12108
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.09047
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.06279
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.90584
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.9619
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.71526
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.09015
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.08353
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.09954
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.04245
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.26196
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.42848
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.60086
(380.70, 14.61, 268.02) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 19.78292
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.957835
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.39451
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.899397
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.48164
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.17323
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91587
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.28806
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.92763
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.17421
(380.70, 14.61, 268.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.3778
