¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
º(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.582841
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.88022
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.200392
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.545918
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.919994
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41659
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15108
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.99893
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09501
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.4812
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.4355
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.89076
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.094231
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.300392
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.521994
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.653489
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.769337
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.890284
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.016751
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.149023
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.287481
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.432502
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.584631
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.744247
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.911941
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.176385
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.492211
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.783054
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.095874
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.433272
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.864235
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42379
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15538
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00394
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09672
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48008
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.40021
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.76047
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.087014
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.292648
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.513663
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.658162
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.774171
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.895321
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.022007
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.154488
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.293163
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.438478
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.590807
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.750731
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.918752
©(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.095416
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.4041
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.688602
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.994421
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.386882
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.87674
(402.78, 14.89, 310.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43549
