¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ü(432.15, 14.96, 248.02) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 13.1051
(432.15, 14.96, 248.02) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 13.07382
(432.15, 14.96, 248.02) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 13.04462
(432.15, 14.96, 248.02) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 13.0175
(432.15, 14.96, 248.02) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 12.99242
(432.15, 14.96, 248.02) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 12.96937
(432.15, 14.96, 248.02) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 12.94834
(432.15, 14.96, 248.02) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 12.92929
(432.15, 14.96, 248.02) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 12.95748
(432.15, 14.96, 248.02) (402.94, 7.66, 254.99) (1.84, 1.43, 1.86) Tools 15.42812
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.589057
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.828243
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.086567
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.362001
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.666569
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.007369
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.381198
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.79306
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.248893
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.756131
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31674
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90241
(432.15, 14.96, 248.02) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56037
