¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯(380.84, 14.44, 266.64) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.42963
(380.84, 14.44, 266.64) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.60875
(380.84, 14.44, 266.64) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.79417
(380.84, 14.44, 266.64) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.9901
(380.84, 14.44, 266.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.693432
(380.84, 14.44, 266.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.124919
(380.84, 14.44, 266.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.596213
(380.84, 14.44, 266.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.155864
(380.84, 14.44, 266.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.789272
(380.84, 14.44, 266.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.5592
(380.84, 14.44, 266.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.50861
(380.84, 14.44, 266.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.33299
(380.84, 14.44, 266.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.83912
(380.84, 14.44, 266.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.67851
(380.84, 14.44, 266.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.25063
(380.84, 14.44, 266.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.67929
(380.84, 14.44, 266.64) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.72313
(380.84, 14.44, 266.64) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.73153
(380.84, 14.44, 266.64) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.38351
(380.84, 14.44, 266.64) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.3559
(380.84, 14.44, 266.64) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 21.38173
(380.84, 14.44, 266.64) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.40616
(380.84, 14.44, 266.64) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.39493
(380.84, 14.44, 266.64) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.45878
(380.84, 14.44, 266.64) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.59298
(380.84, 14.44, 266.64) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.42362
(380.84, 14.44, 266.64) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.43778
(380.84, 14.44, 266.64) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.61411
(380.84, 14.44, 266.64) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.79663
(380.84, 14.44, 266.64) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 20.98559
(380.84, 14.44, 266.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.700688
