¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¤(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.87777
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49621
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14692
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.748109
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.728924
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.711262
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.695106
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.680449
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.667274
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.655576
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.072438
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.186401
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.307559
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.436645
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.574395
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.721694
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.879583
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.049137
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.231728
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.428857
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.642276
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.874116
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.126717
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.403069
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.706576
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.041372
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.41251
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.826203
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.290116
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.799119
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.288359
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.836728
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45557
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04485
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.683747
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.664777
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.647315
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.631351
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.616876
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.603872
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.592338
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.064858
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.178303
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.298968
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.427487
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.564632
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.711287
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.868404
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.037135
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.218773
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.414877
Ÿ(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.627156
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.857662
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.10878
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.383445
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.684995
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.017529
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.386061
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.796685
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.25692
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.766306
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.25174
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.795604
(348.90, 8.25, 312.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40907
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.641944
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.621661
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.602893
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.585629
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.56985
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.555547
(348.90, 8.25, 312.44) (324.10, 1.57, 319.55) (2.82, 2.58, 3.24) Truck 9.54271
