¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.286357
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.454796
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.635191
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.828799
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.037112
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.261865
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.505018
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.768834
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.052799
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.35886
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.702335
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.069129
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.477528
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.925805
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.422868
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.980159
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60919
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.32466
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.14557
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.0682
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.16446
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.42113
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.85377
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.6054
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.66429
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.1381
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.29076
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.459506
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.640241
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.834221
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.042953
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.268173
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.511851
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.776258
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.060616
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.36728
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.711586
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.07894
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.488272
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.937537
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.435974
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.994893
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62587
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.34371
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.16752
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.09586
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.19871
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.46111
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.90479
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.66766
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.73082
¡(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.22159
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.29523
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.464287
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.645363
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.839726
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.048882
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.274577
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.518787
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.783795
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.068578
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.375834
(439.16, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.720987
