¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
½(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.56134
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.34642
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.23288
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.22615
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.32387
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.57762
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.93155
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.58095
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.54108
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.199587
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.465738
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.769102
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.082326
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.422812
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.799567
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.200218
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.644412
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12775
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.65338
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.21006
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.8364
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.52561
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.30654
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.1877
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.17886
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.26945
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.51477
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.85989
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.51527
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.44032
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.188961
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.453299
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.755574
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.067795
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.406449
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.781962
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.180908
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.622704
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.10417
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.62846
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18358
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.80547
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.49008
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.26694
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.14285
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.13203
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.21564
(378.13, 15.76, 290.14) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.45264
