¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
•(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 20.79889
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 19.96705
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 19.96909
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 19.97411
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 19.98211
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 19.99311
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 20.40731
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 20.42208
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 20.43993
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 22.16095
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.689759
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.836493
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.020698
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.234063
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.437377
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.626561
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.892601
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.162502
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.407443
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.751977
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.049834
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.45185
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.81516
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.31335
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.776663
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.43512
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08403
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.94776
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.98313
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.35573
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.78068
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.22303
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 20.64861
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 20.65393
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 20.49326
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 20.50817
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 20.52617
(399.34, 12.28, 329.78) (423.04, 11.69, 306.92) (15.00, 8.42, 9.26) Truck 22.25453
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.688611
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.835279
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.013409
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.226217
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.432204
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.621059
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.879574
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.151122
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.38984
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.732642
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.02953
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.425764
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.784364
‚(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.277378
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.732078
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.37411
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.01912
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.86965
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.87965
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.23512
(399.34, 12.28, 329.78) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.52234
