¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
°(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15447
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.58225
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.91942
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.63148
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.31605
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.98383
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.36557
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.76533
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.53121
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.54099
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.18354
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.403956
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.641695
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.897913
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.173463
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.475616
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.805556
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.167242
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.565415
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.012716
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.499936
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04443
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.67145
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38019
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02156
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97065
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.14914
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.57586
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.93569
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.85367
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.63386
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.18234
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.572
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.19451
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.16063
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.184023
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.404477
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.642256
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.897968
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.173673
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.475844
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.805806
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.167516
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.565717
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.014386
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.501797
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04651
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.68106
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.39114
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.20097
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97069
ª(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.14363
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.56926
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.95259
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.15769
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.96424
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.38745
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.93194
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.75712
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.80538
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.184486
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.404976
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.642795
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.898009
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.173858
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.476047
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.806028
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.167761
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.567627
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.016028
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.503624
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04856
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.69062
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.40203
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.2062
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97075
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.13791
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.56242
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.97014
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.47347
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.21125
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.68028
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.41402
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.4047
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.18493
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.405454
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.643312
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.898038
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.174024
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.476225
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.806225
(335.88, 7.44, 352.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.167976
