¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
×(324.94, 7.57, 372.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.00763
(324.94, 7.57, 372.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.93874
(324.94, 7.57, 372.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98789
(324.94, 7.57, 372.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36923
(324.94, 7.57, 372.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.03397
(324.94, 7.57, 372.39) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.7226
(324.94, 7.57, 372.39) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.57709
(324.94, 7.57, 372.39) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.55679
(324.94, 7.57, 372.39) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.65743
(324.94, 7.57, 372.39) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.98444
(324.94, 7.57, 372.39) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 21.73726
(324.94, 7.57, 372.39) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 21.4592
(324.94, 7.57, 372.39) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 21.5078
(324.94, 7.57, 372.39) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 21.96239
(324.94, 7.57, 372.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.784509
(324.94, 7.57, 372.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.975884
(324.94, 7.57, 372.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.189525
(324.94, 7.57, 372.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.444476
(324.94, 7.57, 372.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.724967
(324.94, 7.57, 372.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.007524
(324.94, 7.57, 372.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.31363
(324.94, 7.57, 372.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.655487
(324.94, 7.57, 372.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.021714
(324.94, 7.57, 372.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.419373
(324.94, 7.57, 372.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.859904
