°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö (430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.48534
(430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.482895
(430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.480972
(430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.47957
(430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.478689
(430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.478327
(430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.478484
(430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.47916
(430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.480357
(430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.482074
(430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.484313
(430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.487076
(430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.490365
(430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.494182
(430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.49853
(430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.503412
(430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.508833
(430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.514796
(430.71, 13.15, 339.36) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.521305
