¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
î(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.40569
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.14435
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.98739
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.98402
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.17119
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.55494
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.16127
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.11614
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.56691
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.573705
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.766881
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.972826
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.192807
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.435879
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.758152
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.219724
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.751329
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.173519
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.64002
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15811
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.73674
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38707
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.12319
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.96314
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.95438
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.13668
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.51565
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.11392
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.05797
(394.46, 7.06, 362.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.49331
