¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
è(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.719293
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.646934
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.577089
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.509657
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.444547
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.381669
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.320941
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.347505
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.522117
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.709397
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.316409
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.541593
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.784431
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.049658
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.334399
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.644298
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.982806
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.63173
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.608598
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.757144
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.739464
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.668263
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.710236
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.702857
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.689782
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.677755
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.666764
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.6568
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.003082
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.933104
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.854072
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.777822
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.70424
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.633218
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.564654
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.498453
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.434525
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.372785
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.352568
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.527539
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.111386
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.320986
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.546489
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.789727
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.057959
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.343421
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.654129
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.993555
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.688859
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.665484
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 8.006856
ı(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.981436
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.802837
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.780787
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.759889
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.740122
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.721472
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.703923
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.687459
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 7.018563
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.996459
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.916041
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.838459
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.763598
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.691348
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.600676
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.554259
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.489236
(397.38, 14.61, 309.65) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 6.426438
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.357681
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.533017
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.115715
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.32561
(397.38, 14.61, 309.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.551466
