¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.282541
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.323269
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.365558
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.409429
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.454992
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.502208
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.551188
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.601931
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.654521
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.709011
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.765442
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.823885
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.884391
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.775471
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.792953
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.811563
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.831236
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.852075
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.874135
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.897301
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.921646
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.947255
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.974086
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.00217
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.03151
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.062223
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.094209
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.127551
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.162286
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.198491
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.236116
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.275182
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.315847
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.358046
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401825
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.447258
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.494379
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.543231
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.593899
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.646357
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.700739
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.757022
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.815325
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.875684
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.770291
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.787715
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.806234
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.825911
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.846686
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.868627
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.891762
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.916101
(370.91, 6.89, 356.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.94165
