¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ù(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.44152
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.64604
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.864982
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.099988
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.05367
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.207755
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.369084
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.538249
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.715669
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.902033
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.845087
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45579
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47422
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03411
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.39276
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.56756
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.19005
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.121101
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.13996
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.159599
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.180083
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.201381
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.223499
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.246531
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.270448
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.295287
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.321054
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.347816
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.623087
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.982688
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.270746
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.463947
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.670525
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.891763
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.129311
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.154877
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.314044
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.480862
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.655863
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.839527
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.032589
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38017
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1812
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93056
(349.23, 7.08, 358.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23705
