¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ğ(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.732763
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.989873
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.268517
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.564183
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.885922
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.237504
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.623225
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.048308
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.518962
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04838
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.632
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23281
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90748
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70841
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70843
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77626
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 15.05637
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 15.06214
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 15.07016
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 15.08045
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 15.093
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 15.10783
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.27851
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.499623
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.737922
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.995411
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.27281
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.568608
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.890731
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.242794
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.629045
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.054707
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.526056
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.06025
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65956
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.26365
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94223
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78876
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.81591
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.80798
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.81099
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.81621
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.82364
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.8333
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.84519
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.85932
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.282915
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.504352
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.743025
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.000955
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.276901
Ô(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.573083
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.895576
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.248089
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.634876
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.061172
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.533203
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07213
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68271
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29484
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97734
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86996
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92522
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.57305
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.57558
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.58028
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.58717
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.59624
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.6075
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.62097
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.287332
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.509105
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.748127
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.006481
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.281007
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.577515
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.900468
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.253414
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.640731
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.06764
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.540397
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08402
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6961
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32634
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01286
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95204
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03645
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.69871
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.67045
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.64449
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.6208
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.59935
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.58015
(434.78, 15.06, 249.53) (408.87, 7.73, 235.00) (1.88, 1.40, 1.43) Tools 14.56317
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.291718
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.51384
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.753249
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.011627
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.285122
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.582021
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.905315
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.258759
Ä(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.646611
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.074129
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.550074
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0959
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7095
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35819
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06243
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03497
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.14958
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05907
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.95626
(434.78, 15.06, 249.53) (406.51, 6.77, 234.15) (2.03, 1.40, 1.79) Tools 16.01145
(434.78, 15.06, 249.53) (406.51, 6.77, 234.15) (2.03, 1.40, 1.79) Tools 17.17676
(434.78, 15.06, 249.53) (404.16, 6.96, 233.74) (2.01, 1.13, 1.81) Tools 18.46227
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.296107
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.51855
(434.78, 15.06, 249.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.758349
