¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ş(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.961636
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.164482
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.382615
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.616805
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.860272
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.123423
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.408752
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.719072
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.059008
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.436678
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.85286
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.313695
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.82669
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35904
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.70557
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.69438
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.68481
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.67685
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.67049
(381.62, 13.99, 260.88) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 12.39129
(381.62, 13.99, 260.88) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 12.36829
(381.62, 13.99, 260.88) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 12.34722
(381.62, 13.99, 260.88) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 12.32805
(381.62, 13.99, 260.88) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 10.93627
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.96218
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.165065
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.383248
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.618438
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.862038
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.125361
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.41081
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.721344
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.050876
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.436113
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.852236
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.313009
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.825914
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34951
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.634
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.62281
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.61323
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.60525
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.59886
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.59405
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.59083
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.5892
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.58914
(381.62, 13.99, 260.88) (398.43, 7.50, 238.76) (1.31, 1.54, 1.92) Tools 11.14555
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.962755
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.165671
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.383899
Ş(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.61915
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.863885
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.127341
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.41298
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.723681
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.038343
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.435616
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.8517
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.312401
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.825242
(381.62, 13.99, 260.88) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34029
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.56492
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.55373
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.54414
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.53614
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.52972
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.52487
(381.62, 13.99, 260.88) (397.18, 7.42, 238.82) (1.21, 1.54, 1.85) Tools 10.5216
