¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.460413
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.850765
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27632
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8162
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47607
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22358
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.332495
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.562225
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.810272
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.078912
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.370803
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.688945
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.037053
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.385284
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.725746
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.088392
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.446596
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.835735
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2599
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77001
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42395
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16434
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.324326
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.554955
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.802835
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.070858
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.361987
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.679337
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.026527
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.3885
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.729244
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.075992
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.433176
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.821158
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.244
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72434
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.37246
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14453
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.315018
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.544908
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.7932
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.062206
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.353182
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.669704
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.015994
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.391926
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.732933
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.063933
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.420116
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.806954
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22854
´(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68963
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.32162
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22979
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.30569
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.53483
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.782323
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.050408
(392.45, 12.31, 327.41) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.341634
