¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.793014
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.785191
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.778542
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.773063
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.768753
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.765605
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.763619
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.762791
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.763123
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.764614
(399.97, 14.04, 248.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.151375
(399.97, 14.04, 248.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.355862
(399.97, 14.04, 248.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.575396
(399.97, 14.04, 248.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.800944
(399.97, 14.04, 248.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.029368
(399.97, 14.04, 248.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.274749
(399.97, 14.04, 248.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.538278
(399.97, 14.04, 248.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.816027
(399.97, 14.04, 248.35) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 7.832644
(399.97, 14.04, 248.35) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 7.808149
(399.97, 14.04, 248.35) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 7.784962
(399.97, 14.04, 248.35) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 7.763069
(399.97, 14.04, 248.35) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 7.74245
(399.97, 14.04, 248.35) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 7.723092
(399.97, 14.04, 248.35) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 7.704975
(399.97, 14.04, 248.35) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 7.68809
(399.97, 14.04, 248.35) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 7.672421
(399.97, 14.04, 248.35) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 7.657957
(399.97, 14.04, 248.35) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 7.644684
(399.97, 14.04, 248.35) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 7.632595
(399.97, 14.04, 248.35) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 7.621681
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.959173
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.951193
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.944413
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.938827
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.934435
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.931229
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.929209
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.928372
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.928719
(399.97, 14.04, 248.35) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 7.93025
(399.97, 14.04, 248.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.147005
(399.97, 14.04, 248.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.351188
(399.97, 14.04, 248.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.570399
(399.97, 14.04, 248.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.806327
(399.97, 14.04, 248.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.037722
(399.97, 14.04, 248.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.283748
(399.97, 14.04, 248.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.546468
(399.97, 14.04, 248.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.824853
(399.97, 14.04, 248.35) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 7.778905
