¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‚(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.246303
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.653464
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.111683
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.628451
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.20898
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86572
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.61462
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.47641
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77314
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15427
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.271
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.08719
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.988
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.21904
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.020589
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.22755
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.450676
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.691566
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.952227
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.235141
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.542546
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.878734
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.248364
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.655741
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.113783
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.6308
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21162
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86873
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.61807
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.48039
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68703
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.04763
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93861
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.54908
(347.58, 7.13, 359.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.84329
