¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.16547
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.73169
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.21712
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.74104
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.33388
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.01366
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35178
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.20369
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.08005
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.05774
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.99651
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.06947
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.17172
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.25612
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.89289
(361.43, 10.03, 323.76) (327.39, 1.96, 306.37) (6.49, 2.84, 8.24) Truck 19.48734
(361.43, 10.03, 323.76) (327.39, 1.96, 306.37) (6.49, 2.84, 8.24) Truck 19.02902
(361.43, 10.03, 323.76) (327.39, 1.96, 306.37) (6.49, 2.84, 8.24) Truck 18.91284
(361.43, 10.03, 323.76) (327.39, 1.96, 306.37) (6.49, 2.84, 8.24) Truck 18.82846
(361.43, 10.03, 323.76) (327.39, 1.96, 306.37) (6.49, 2.84, 8.24) Truck 18.74762
(361.43, 10.03, 323.76) (327.39, 1.96, 306.37) (6.49, 2.84, 8.24) Truck 18.67024
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.655562
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.901802
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.163827
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.385698
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.622925
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.936796
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.321715
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.815084
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.234706
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.697751
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.22325
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.7654
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24546
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.77217
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.38234
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.0675
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43947
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25363
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.13594
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13457
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.1035
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.1909
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.28295
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.28596
(361.43, 10.03, 323.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.98603
(361.43, 10.03, 323.76) (327.39, 1.96, 306.37) (6.49, 2.84, 8.24) Truck 19.71136
(361.43, 10.03, 323.76) (327.39, 1.96, 306.37) (6.49, 2.84, 8.24) Truck 19.16953
(361.43, 10.03, 323.76) (327.39, 1.96, 306.37) (6.49, 2.84, 8.24) Truck 18.90594
(361.43, 10.03, 323.76) (327.39, 1.96, 306.37) (6.49, 2.84, 8.24) Truck 18.80155
