¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
­(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.379446
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.685808
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.019938
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.385756
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.694956
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.023923
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.543287
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12766
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18764
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07885
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12646
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31793
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.91508
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.16115
(342.23, 7.17, 311.99) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 19.36571
(342.23, 7.17, 311.99) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 13.59508
(342.23, 7.17, 311.99) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 19.32667
(342.23, 7.17, 311.99) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 19.31154
(342.23, 7.17, 311.99) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 19.2993
(342.23, 7.17, 311.99) (329.75, 1.25, 344.53) (1.45, 2.50, 0.40) Cabin 19.28996
(342.23, 7.17, 311.99) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 12.21027
(342.23, 7.17, 311.99) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 19.27992
(342.23, 7.17, 311.99) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 19.27922
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.582307
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.757197
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.944317
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.144993
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.360666
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.593032
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.844077
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.094924
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.376542
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.682626
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.016479
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.381964
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.716291
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.066873
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.591412
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18199
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19103
(342.23, 7.17, 311.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08286
(342.23, 7.17, 311.99) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 12.5083
(342.23, 7.17, 311.99) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 12.48678
(342.23, 7.17, 311.99) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 12.46826
(342.23, 7.17, 311.99) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 12.45164
(342.23, 7.17, 311.99) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 12.43692
(342.23, 7.17, 311.99) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 12.42409
(342.23, 7.17, 311.99) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 12.41313
(342.23, 7.17, 311.99) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 12.4053
