¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
º(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.215927
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.461441
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.725439
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.036388
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.385366
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.767425
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.187382
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.651098
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16571
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73996
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.470577
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.709198
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.967135
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.217461
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.463043
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.727202
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.014443
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.361384
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.741138
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.158401
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.619047
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13005
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70009
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.466787
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.705076
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.96268
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.219081
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.464845
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.729084
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.013956
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.337585
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.715006
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.129686
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.587261
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09472
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6621
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.462914
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.700914
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.958175
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.220835
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.466726
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.731131
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.016169
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.324337
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.68915
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.101182
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.555791
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05971
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62758
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.459034
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.696692
·(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.953616
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.222753
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.468797
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.733338
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.018562
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.3269
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.66351
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.072974
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.524569
(393.76, 12.29, 327.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02585
