¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41633
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.75865
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22377
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.224036
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.443341
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.679698
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.935133
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.211996
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.490223
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.795663
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.633737
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.006318
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.397198
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.806681
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01124
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22609
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45191
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6896
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94004
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.10637
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24732
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39353
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54542
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70314
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86704
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03737
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21458
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.39891
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59082
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79379
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01392
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24378
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56146
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13164
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.22243
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.441612
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.677833
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.93311
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.209802
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.494016
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.293714
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.643168
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.019273
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.411308
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.695175
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.894751
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10424
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32438
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55594
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79976
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.05684
á(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20227
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34727
(426.85, 9.95, 361.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49782
