¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ü(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.247053
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.657904
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.091645
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.578835
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.169771
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.854758
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.71929
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.80617
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.26786
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.56509
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.29164
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.31738
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.258296
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.438081
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.631464
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.837374
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.064209
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.310366
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.578377
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.881049
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.259547
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.660885
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.094987
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.586943
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.183448
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.87831
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.82484
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.8476
(334.74, 7.13, 313.29) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.3256
