¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
°(324.69, 7.50, 366.32) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.05088
(324.69, 7.50, 366.32) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.04175
(324.69, 7.50, 366.32) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.03592
(324.69, 7.50, 366.32) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.03337
(324.69, 7.50, 366.32) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.03412
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.274467
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.482452
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.705737
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.946022
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.205257
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.485799
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.790234
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.121774
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.484132
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.881683
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.319788
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.804881
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.34489
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9496
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58342
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.08608
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88708
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19164
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.27691
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.19135
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.2793
(324.69, 7.50, 366.32) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.44078
(324.69, 7.50, 366.32) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.31244
(324.69, 7.50, 366.32) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.28982
(324.69, 7.50, 366.32) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.27057
(324.69, 7.50, 366.32) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 22.25468
