¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
·(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41304
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00998
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.77776
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.0359
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.49473
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.468538
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.629489
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.799865
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.981808
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.176472
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.385219
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.609567
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.851316
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.112579
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.395639
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.72374
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.085333
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.450474
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.842896
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.27496
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.649622
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02754
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43793
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93623
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.87941
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.14981
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.62596
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.4674
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.628744
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.799057
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.98092
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.175529
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.384222
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.608515
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.850186
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.111331
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.394312
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.720492
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.081756
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.464334
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.858124
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.291754
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.671616
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05139
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46377
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91319
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.98357
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.26661
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.76048
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.466367
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.628097
·(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.79838
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.980217
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.174777
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.383366
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.607618
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.849222
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.110288
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.393178
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.717455
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.078408
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.47613
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.873716
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.308962
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.694386
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07602
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.49053
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94236
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.09027
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.3863
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.89835
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.465475
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.62761
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.797846
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.97964
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.174133
(432.95, 11.87, 347.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.382695
