¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ş(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.100378
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.319642
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.556269
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.812363
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.090377
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.393199
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.724246
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.087592
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.488138
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.931834
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.425952
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.977345
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.57971
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.32774
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.0654
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.94976
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.04168
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.33721
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.89887
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.61375
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.69149
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.29558
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.098193
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.317286
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.553722
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.809602
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.087375
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.389924
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.720657
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.083647
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.483777
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.92699
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.420544
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.971261
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.57285
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.25336
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.02676
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.93933
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.0294
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.32253
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.88103
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.55474
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.60698
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.15299
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.095984
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.314905
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.551149
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.806812
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.084342
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.386612
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.717032
ù(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.079657
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.479372
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.922094
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.415075
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.965164
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.56598
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.24574
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.01804
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.9288
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.017
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.30771
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.86301
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.4966
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.52316
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 23.01209
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.093751
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.312499
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.54855
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.803994
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.081277
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.383268
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.713369
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.07563
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.474919
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.917151
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.409555
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.959056
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.55909
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.23811
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.00931
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.91817
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.00448
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.29275
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.84483
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.43883
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.44005
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 22.87287
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.091497
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.31007
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.545923
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.801149
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.078181
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.379892
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.709671
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.071562
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.470426
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.912162
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.403983
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.952938
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.5522
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.23047
ı(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.00057
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.90744
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.99185
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.27767
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.8265
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.38142
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.37656
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 22.73533
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.089219
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.307616
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.543272
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.798275
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.075058
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.376482
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.705936
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.067456
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.465889
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.907124
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.398358
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.946809
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.54529
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.22283
(343.58, 7.15, 362.79) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.99182
