¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
õ(397.96, 14.25, 246.73) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 7.959884
(397.96, 14.25, 246.73) (389.55, 7.87, 266.51) (2.74, 0.76, 3.53) Tools 7.955425
(397.96, 14.25, 246.73) (388.22, 7.77, 266.02) (1.83, 0.66, 3.91) Tools 10.00065
(397.96, 14.25, 246.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.34002
(397.96, 14.25, 246.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.85569
(397.96, 14.25, 246.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.40981
(397.96, 14.25, 246.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.74898
(397.96, 14.25, 246.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.10883
(397.96, 14.25, 246.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.02774
(397.96, 14.25, 246.73) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 3.980625
(397.96, 14.25, 246.73) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 3.962957
(397.96, 14.25, 246.73) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 3.946033
(397.96, 14.25, 246.73) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 3.929837
(397.96, 14.25, 246.73) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.286312
(397.96, 14.25, 246.73) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.288297
(397.96, 14.25, 246.73) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.290926
(397.96, 14.25, 246.73) (388.85, 7.25, 261.67) (3.97, 0.64, 1.47) Tools 4.294199
(397.96, 14.25, 246.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.679177
(397.96, 14.25, 246.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.947676
(397.96, 14.25, 246.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.23977
(397.96, 14.25, 246.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.558665
(397.96, 14.25, 246.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.908201
(397.96, 14.25, 246.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.292933
(397.96, 14.25, 246.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.713498
(397.96, 14.25, 246.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.157311
(397.96, 14.25, 246.73) (388.83, 7.17, 266.65) (0.46, 0.49, 3.98) Tools 8.982627
