¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
º(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.078154
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.390438
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.753004
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.211942
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.736481
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.308237
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.988886
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62166
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46387
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41425
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31083
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.51807
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0299
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.91317
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.66003
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.25572
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.797416
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.08339
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.395673
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.755116
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.216185
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.729826
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.300716
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00168
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64224
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46838
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42265
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.36216
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.54509
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.11545
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.00739
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.65848
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.21124
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.802032
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.088438
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.401157
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.756869
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.219751
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.722616
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.29238
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.992028
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66215
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47216
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.42976
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.42026
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57155
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20043
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.10007
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.65435
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.16514
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.806465
¶(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.093302
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.406484
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.758345
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.216381
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.714871
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.283307
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.981472
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68127
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47528
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43556
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47786
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59744
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.28483
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.19115
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.17962
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.11753
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.810735
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.097942
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.41159
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.759463
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.209023
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.706529
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.273438
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.970028
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69962
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47773
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44004
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53489
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62273
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.36861
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.28411
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.07573
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.834
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.814826
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.102385
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.416479
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.760826
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.20118
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.697689
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.26281
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.957714
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7172
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47951
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44324
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57762
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64747
(437.74, 13.98, 296.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.44318
