¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
“ (432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.650189
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.891163
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.149519
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.412806
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.385199
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.379401
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.383267
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.388242
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.409542
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.447238
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.486444
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.551135
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.636505
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.748288
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.928076
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.14975
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.13313
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.11807
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.10456
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.09259
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.08215
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.07323
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.06583
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.15484
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.37428
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.6855
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.427242
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.648401
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.890228
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.148537
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.405989
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.378406
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.373886
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.377728
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.382679
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.405209
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.442847
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.481996
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.548293
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.63359
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.748539
(432.55, 15.14, 247.57) (451.01, 7.51, 257.72) (3.44, 2.61, 3.44) Tools 7.928339
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.24854
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.13328
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.04344
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.03002
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.01812
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.04011
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.09804
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.20031
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.35039
Œ (432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.57058
(432.55, 15.14, 247.57) (454.15, 8.55, 256.05) (3.68, 2.61, 3.68) Tools 10.88414
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.424595
(432.55, 15.14, 247.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.646765
