¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ò(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22667
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41184
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60438
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83272
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0787
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33578
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.60465
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88607
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.076757
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.265706
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.476939
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.70785
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.956912
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.226303
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.518564
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.827569
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.176311
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.139402
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.549428
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.963102
(425.33, 9.64, 362.77) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41583
