¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
“(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.65427
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.1734
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.92633
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.81892
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.73159
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.020874
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.288763
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.623865
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.9978
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.417632
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.164116
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14018
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72678
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35329
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06925
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90025
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.68657
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.02404
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.20165
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.4912
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.11112
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.96459
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.79929
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.60625
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.922931
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.168422
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.460561
(430.39, 10.84, 348.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.815077
