¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.30437
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.24605
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.34522
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.6296
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.16727
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.02995
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.90347
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.423637
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.592193
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.772447
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.965631
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.174617
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.397661
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.63397
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.8916
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.1788
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.48075
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.810433
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.16385
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.542578
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.961226
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.417547
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.921188
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.46476
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.08549
(397.61, 13.98, 247.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71871
