¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Á(412.28, 12.70, 331.85) (412.94, 8.53, 306.04) (2.93, 2.52, 2.82) Tools 12.79508
(412.28, 12.70, 331.85) (412.94, 8.53, 306.04) (2.93, 2.52, 2.82) Tools 12.92177
(412.28, 12.70, 331.85) (412.94, 8.53, 306.04) (2.93, 2.52, 2.82) Tools 13.13157
(412.28, 12.70, 331.85) (412.94, 8.53, 306.04) (2.93, 2.52, 2.82) Tools 13.66166
(412.28, 12.70, 331.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.277
(412.28, 12.70, 331.85) (406.51, 10.23, 298.71) (0.61, 0.87, 0.61) Tools 22.76178
(412.28, 12.70, 331.85) (406.51, 10.23, 298.71) (0.61, 0.87, 0.61) Tools 22.78815
(412.28, 12.70, 331.85) (406.51, 10.23, 298.71) (0.61, 0.87, 0.61) Tools 22.81799
(412.28, 12.70, 331.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.618122
(412.28, 12.70, 331.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.876859
(412.28, 12.70, 331.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.15783
(412.28, 12.70, 331.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.464483
(412.28, 12.70, 331.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.79937
(412.28, 12.70, 331.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.166996
(412.28, 12.70, 331.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.568813
(412.28, 12.70, 331.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.66759
(412.28, 12.70, 331.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2454
(412.28, 12.70, 331.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90994
(412.28, 12.70, 331.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70774
(412.28, 12.70, 331.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63348
(412.28, 12.70, 331.85) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.72038
(412.28, 12.70, 331.85) (412.94, 8.53, 306.04) (2.93, 2.52, 2.82) Tools 13.14636
(412.28, 12.70, 331.85) (412.94, 8.53, 306.04) (2.93, 2.52, 2.82) Tools 12.95407
