¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‘ (398.31, 14.03, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.289138
(398.31, 14.03, 246.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.504223
(398.31, 14.03, 246.24) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.368867
(398.31, 14.03, 246.24) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.343662
(398.31, 14.03, 246.24) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.319596
(398.31, 14.03, 246.24) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.296648
(398.31, 14.03, 246.24) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.274801
(398.31, 14.03, 246.24) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.254033
(398.31, 14.03, 246.24) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.23433
(398.31, 14.03, 246.24) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.215676
(398.31, 14.03, 246.24) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.198056
(398.31, 14.03, 246.24) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.181454
(398.31, 14.03, 246.24) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.165861
(398.31, 14.03, 246.24) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.15126
(398.31, 14.03, 246.24) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.137644
(398.31, 14.03, 246.24) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.125
(398.31, 14.03, 246.24) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.113317
(398.31, 14.03, 246.24) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.102589
(398.31, 14.03, 246.24) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.218198
(398.31, 14.03, 246.24) (379.57, 7.54, 253.11) (1.81, 1.29, 1.80) Tools 6.892883
(398.31, 14.03, 246.24) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 8.234508
(398.31, 14.03, 246.24) (377.95, 7.54, 251.89) (1.36, 1.29, 1.33) Tools 8.808064
(398.31, 14.03, 246.24) (378.09, 8.79, 250.51) (1.36, 1.29, 1.33) Tools 9.374107
