¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.934769
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68344
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69129
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03551
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.77882
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.95928
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.23488
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.61181
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.41627
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.204151
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.531185
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.890591
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.287285
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.727362
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.248234
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.89202
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63385
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61133
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.90771
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.79543
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.97796
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.22839
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.55556
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.40816
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.184043
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.509108
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.866248
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.260337
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.697353
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.21056
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.84881
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58374
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52987
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8014
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.81187
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.99649
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.22198
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.44961
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.40013
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.163765
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.486853
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.841722
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.233211
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.667171
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.172491
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.805152
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53141
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4478
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69495
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.80533
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.98534
ï(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.21331
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.33501
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.39219
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.143309
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.464469
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.817033
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.205894
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.636752
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.134068
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.761064
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47607
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36516
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58842
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77392
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.93637
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.15831
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.22099
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.37562
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.122756
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.441891
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.792202
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.178407
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.606224
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.095222
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.716582
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42046
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28207
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.48192
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.5439
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.88767
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.10362
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.10947
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.34909
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.102042
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.419198
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.767194
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.150739
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.575493
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.056054
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.671727
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36472
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19853
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.37549
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.31654
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.83927
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.05973
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.0052
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.3231
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.082227
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.396325
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.742054
™(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.122938
(376.06, 9.62, 325.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.544603
