¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.57086
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.32126
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.82482
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.917897
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132685
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.366319
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.615618
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.88341
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.179541
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.507328
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.867733
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.258877
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.691352
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.19247
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.748553
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.40953
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18419
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.11417
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.22638
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.57343
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.3274
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.83196
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.917297
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132684
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.366319
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.615386
(437.84, 13.89, 291.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.883158
