¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ş(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.58673
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.792272
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.014444
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.255313
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.525524
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.859783
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.23127
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.646506
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.102622
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.58675
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.144823
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.818012
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.64203
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.68565
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.10054
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.41177
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.0492
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.43905
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.23163
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.407238
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.594768
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.800946
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.023834
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.265508
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.536798
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.872284
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.245208
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.66214
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.107388
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.592114
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.160744
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.836412
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.67345
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.73177
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.16811
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.50353
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.18721
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.39605
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.238301
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.4144
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.602845
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.809666
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.033273
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.275758
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.547992
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.8847
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.259056
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.677675
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.112085
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.597407
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.17652
Õ(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.854646
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.70463
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.77756
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.23496
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.59359
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.26938
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.35314
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.245008
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.421616
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.610962
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.818429
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.042762
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.286064
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.559108
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.897031
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.272809
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.683846
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.116712
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.602616
(334.93, 7.14, 313.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.192148
