¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ü(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57068
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35941
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.4781
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.16123
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.97001
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.917144
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.200628
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.492115
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.794669
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.120968
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.482955
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.83951
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1984
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59885
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02626
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.422
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84904
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.30231
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9068
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.51758
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.29003
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.35676
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.08274
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.90557
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.900926
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.183169
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.47452
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.7757
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.100512
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.45174
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.812506
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17729
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57599
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00473
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39884
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82401
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27886
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8594
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46547
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2217
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23852
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00568
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.84289
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.884758
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.165742
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.457047
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.756901
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.08021
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.429762
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.78977
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15654
…(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55347
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.98382
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3763
(424.92, 9.50, 363.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79968
