¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¬(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.226735
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.425542
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.632402
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.84967
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.082728
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.333328
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.622499
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.943974
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.294992
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.679846
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.952751
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.233829
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.534575
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.857108
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30897
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.09916
(336.13, 7.17, 322.66) (328.31, 1.25, 344.92) (1.46, 2.50, 0.44) Cabin 11.3463
(336.13, 7.17, 322.66) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 11.34685
(336.13, 7.17, 322.66) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 11.34909
(336.13, 7.17, 322.66) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 11.35302
(336.13, 7.17, 322.66) (328.31, 1.25, 344.92) (1.46, 2.50, 0.44) Cabin 11.35865
(336.13, 7.17, 322.66) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 11.36598
(336.13, 7.17, 322.66) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 11.37503
(336.13, 7.17, 322.66) (326.86, 1.25, 345.32) (1.45, 2.50, 0.40) Cabin 11.38579
(336.13, 7.17, 322.66) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 11.39827
(336.13, 7.17, 322.66) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 11.41248
(336.13, 7.17, 322.66) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 11.42844
(336.13, 7.17, 322.66) (326.86, 1.25, 345.32) (1.45, 2.50, 0.40) Cabin 11.44615
(336.13, 7.17, 322.66) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 11.46564
(336.13, 7.17, 322.66) (326.86, 1.25, 345.32) (1.45, 2.50, 0.40) Cabin 11.4869
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.050475
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.237162
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.436679
(336.13, 7.17, 322.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.645944
