¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
î(332.23, 7.42, 363.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.841766
(332.23, 7.42, 363.54) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.721754
(332.23, 7.42, 363.54) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.750304
(332.23, 7.42, 363.54) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.861457
(332.23, 7.42, 363.54) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.980442
(332.23, 7.42, 363.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.464822
(332.23, 7.42, 363.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.513175
(332.23, 7.42, 363.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.563295
(332.23, 7.42, 363.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.675499
(332.23, 7.42, 363.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.868165
(332.23, 7.42, 363.54) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.10025
(332.23, 7.42, 363.54) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.16816
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.483587
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.188936
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.992634
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.959333
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.946447
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 8.934931
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.008232
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.132925
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.26252
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.697505
(332.23, 7.42, 363.54) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 14.36382
(332.23, 7.42, 363.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.597924
(332.23, 7.42, 363.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.655869
(332.23, 7.42, 363.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.716275
(332.23, 7.42, 363.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.779284
(332.23, 7.42, 363.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.84505
(332.23, 7.42, 363.54) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.746555
(332.23, 7.42, 363.54) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.775443
(332.23, 7.42, 363.54) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.878489
(332.23, 7.42, 363.54) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.998232
(332.23, 7.42, 363.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.516701
(332.23, 7.42, 363.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.565884
(332.23, 7.42, 363.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.616859
(332.23, 7.42, 363.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.713117
(332.23, 7.42, 363.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.907797
(332.23, 7.42, 363.54) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.15054
(332.23, 7.42, 363.54) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.21924
(332.23, 7.42, 363.54) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.29043
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.400673
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.195663
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.127826
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.114684
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.102937
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.162271
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.291441
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.425733
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.848054
(332.23, 7.42, 363.54) (350.17, 1.49, 347.27) (1.16, 1.24, 6.55) Tools 14.39705
(332.23, 7.42, 363.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.601009
ë(332.23, 7.42, 363.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.659069
(332.23, 7.42, 363.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.719595
(332.23, 7.42, 363.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.782731
(332.23, 7.42, 363.54) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 3.848633
(332.23, 7.42, 363.54) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.772273
(332.23, 7.42, 363.54) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.801511
(332.23, 7.42, 363.54) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 5.896081
(332.23, 7.42, 363.54) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 6.016609
(332.23, 7.42, 363.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.57024
(332.23, 7.42, 363.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.620286
(332.23, 7.42, 363.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.672153
(332.23, 7.42, 363.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.751759
(332.23, 7.42, 363.54) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 7.948519
(332.23, 7.42, 363.54) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.20267
(332.23, 7.42, 363.54) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.2722
(332.23, 7.42, 363.54) (346.41, 0.49, 344.89) (2.46, 1.16, 6.63) Tools 10.34423
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.624211
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.409812
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.30419
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.290779
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.27879
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.322948
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.456873
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 9.596156
(332.23, 7.42, 363.54) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.00456
