¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ˆ(385.91, 13.84, 254.52) (417.67, 7.69, 236.60) (2.02, 1.40, 1.75) Tools 20.85847
(385.91, 13.84, 254.52) (417.67, 7.69, 236.60) (2.02, 1.40, 1.75) Tools 20.79074
(385.91, 13.84, 254.52) (417.67, 7.69, 236.60) (2.02, 1.40, 1.75) Tools 20.72652
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.49473
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.74938
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.01326
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.28673
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.57018
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.007047
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.212941
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.434206
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.669089
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.927753
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.208413
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.511102
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.845456
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.212243
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.614328
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.646377
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15821
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.73159
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41749
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.19089
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02197
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99675
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.16879
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.55772
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.87091
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.15387
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.99431
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.87754
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.26185
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.52194
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.77718
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.04169
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.3611
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.00898
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.215016
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.436679
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.671797
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.930687
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.211601
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.514936
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.849652
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.216859
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.192852
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.655107
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16789
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74502
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43269
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20483
‹(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03794
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.01068
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.18519
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.5773
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.66143
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.13755
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.8595
(385.91, 13.84, 254.52) (417.67, 7.69, 236.60) (2.02, 1.40, 1.75) Tools 19.24374
(385.91, 13.84, 254.52) (417.67, 7.69, 236.60) (2.02, 1.40, 1.75) Tools 19.23077
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.5525
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.82487
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.24394
(385.91, 13.84, 254.52) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.010925
