¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
™(383.22, 14.59, 305.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.639215
(383.22, 14.59, 305.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.855855
(383.22, 14.59, 305.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.092719
(383.22, 14.59, 305.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.350541
(383.22, 14.59, 305.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.637599
(383.22, 14.59, 305.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.957284
(383.22, 14.59, 305.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.306939
(383.22, 14.59, 305.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.696423
(383.22, 14.59, 305.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.13628
(383.22, 14.59, 305.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.630805
(383.22, 14.59, 305.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.179679
(383.22, 14.59, 305.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.770194
(383.22, 14.59, 305.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50091
(383.22, 14.59, 305.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.35103
(383.22, 14.59, 305.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.37281
(383.22, 14.59, 305.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.63375
(383.22, 14.59, 305.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.09296
