¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
­(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.396193
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.83958
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.333879
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.888297
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.51441
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.20382
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.98192
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77214
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95211
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76276
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.93654
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.19007
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.55354
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.93632
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25157
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.54671
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.8549
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.21571
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.818782
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.019835
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.236241
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.470857
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.725633
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.002381
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.304021
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.634007
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.996469
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.396385
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.839793
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.334117
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.888565
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.51471
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.2023
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.98018
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77264
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.95267
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.81836
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.02801
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38192
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.75445
(331.20, 7.46, 368.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.13892
