¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
»(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39239
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02818
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57691
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.59928
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.60828
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05478
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.86962
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.43168
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.03132
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.67237
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.131948
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.346413
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.577447
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.827016
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.097348
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.391098
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.711454
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.062063
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.447399
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.872829
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.343054
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.850964
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41894
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.02496
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53878
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.45697
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.65056
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.57345
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.075
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.64986
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.26357
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.03213
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.139963
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.355027
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.586741
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.837044
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.108248
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.402979
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.724387
(439.15, 14.95, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.076292
