¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
É(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.97578
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.7446
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.63126
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.66495
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.88531
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.34771
(324.66, 7.59, 372.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 19.19222
(324.66, 7.59, 372.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.97313
(324.66, 7.59, 372.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.924
(324.66, 7.59, 372.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.95472
(324.66, 7.59, 372.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 19.10165
(324.66, 7.59, 372.16) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 21.71943
(324.66, 7.59, 372.16) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 24.34622
(324.66, 7.59, 372.16) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 24.06918
(324.66, 7.59, 372.16) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 24.06757
(324.66, 7.59, 372.16) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 24.43894
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.602902
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.765429
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.93858
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.140781
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.366868
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.629714
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.927995
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.219065
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.544121
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.907328
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.292194
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.717811
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.190928
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.719878
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.31506
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.98964
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.76051
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.6497
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.68656
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.911
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.37874
(324.66, 7.59, 372.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 19.15447
(324.66, 7.59, 372.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.94442
(324.66, 7.59, 372.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.90069
(324.66, 7.59, 372.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.93567
(324.66, 7.59, 372.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 19.09142
(324.66, 7.59, 372.16) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 22.2931
(324.66, 7.59, 372.16) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 24.71745
(324.66, 7.59, 372.16) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 24.42655
(324.66, 7.59, 372.16) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 24.4257
(324.66, 7.59, 372.16) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 24.827
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.60551
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.768204
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.941536
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.143317
«(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.369605
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.633494
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.932574
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.224383
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.550308
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.9145
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.300103
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.726576
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.200697
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.730829
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32743
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.00371
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.77665
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.66841
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.7085
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.93708
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.41026
(324.66, 7.59, 372.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 19.1283
(324.66, 7.59, 372.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.91879
(324.66, 7.59, 372.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.88025
(324.66, 7.59, 372.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 18.91936
(324.66, 7.59, 372.16) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 19.08587
(324.66, 7.59, 372.16) (352.37, 0.49, 348.30) (2.47, 1.16, 6.63) Tools 22.90067
(324.66, 7.59, 372.16) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 22.69945
(324.66, 7.59, 372.16) (351.34, 1.47, 346.62) (1.16, 1.16, 6.53) Tools 22.70345
(324.66, 7.59, 372.16) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 24.79841
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.60824
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.771107
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.944631
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.145906
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.372398
(324.66, 7.59, 372.16) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.637239
