¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ÿ(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.6152
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.54604
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.66005
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.06705
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.8464
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.18498
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.62467
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.7958
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.56894
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.48759
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.59209
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.98362
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.74076
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.03304
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.4048
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.75657
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52138
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.4274
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.52241
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.89777
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.62925
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.87716
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.17955
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.71628
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.47256
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.36832
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.45106
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.80961
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.51684
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.71763
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.94938
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.67498
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.42253
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.30996
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.37812
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.71926
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.40499
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.56098
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.71482
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.63269
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.37133
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.25026
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.30365
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.62683
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.29068
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.40576
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.48438
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58945
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.31896
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.18931
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.30732
¯(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.93222
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.4559
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.82197
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.19952
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77025
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07112
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01692
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.15632
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.58114
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.32774
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.61458
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.95086
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23314
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.0127
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.94871
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.06985
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.47604
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.1974
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.40545
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.68666
(430.38, 11.61, 344.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18401
