°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
è(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.900227
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.190182
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.48045
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.793411
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.131779
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.520681
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.957694
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37812
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83728
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34076
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88424
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.08512
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.51638
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.22551
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.02204
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.92302
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.94389
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.03475
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.67237
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.25665
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.71902
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.09416
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.863478
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.15238
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.439769
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.74954
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.084792
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.483908
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.917789
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33464
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78972
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28854
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.83748
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.07624
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.45889
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.16118
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.94959
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.84082
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.85623
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.02353
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.74138
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.30764
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.7357
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.09443
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.826761
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.114963
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.399507
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.706098
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.051334
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.447327
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.878315
Ï(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2916
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7427
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23689
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78058
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.07654
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.40212
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.09769
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.87812
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.75978
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.77195
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.97841
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.80302
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.35963
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.75847
(430.43, 12.13, 342.71) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.09706
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.322465
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.317146
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.312337
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.308036
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.304239
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.300942
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.298143
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.295841
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.294034
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.292719
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.291897
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.291567
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.291727
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.292379
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.293523
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.29516
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.297291
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.299918
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.303042
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.306666
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.310793
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.315425
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.320567
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.326223
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.332395
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.33909
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.346313
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.354068
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.362362
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.371202
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.380595
(430.48, 12.24, 342.42) (437.56, 9.13, 322.03) (3.50, 3.07, 8.33) Truck 3.326889
