¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¨(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.58634
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.30874
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.60944
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.50138
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 19.07956
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 18.84818
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 18.82127
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 18.80556
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 18.79267
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 18.82714
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 18.88798
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 18.95205
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 19.01941
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 19.09011
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 19.1642
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 19.24175
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.96348
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.48513
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.72261
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.194533
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.414813
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.652332
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.993447
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19281
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03756
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.06484
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28618
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.60755
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.32271
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.63246
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.51749
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 19.4172
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 19.39884
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 19.3834
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 19.37088
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 19.4295
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 19.49534
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 19.56456
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 19.63721
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 19.71336
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.78691
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 20.94869
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.11619
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 21.36506
(355.19, 9.48, 317.43) (375.66, 2.73, 343.77) (7.02, 3.52, 8.19) Truck 22.51687
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.172625
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.391196
(355.19, 9.48, 317.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.626857
