¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.735106
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.72401
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.251992
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.970648
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3904
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00086
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79212
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.33665
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.42015
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.40896
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.40083
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.39574
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.39371
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.39472
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.4041
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.665689
(423.63, 14.83, 246.57) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.882079
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.950065
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.923355
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.897875
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.873605
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.850524
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.828613
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.807855
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.788232
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.76973
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.752334
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.73603
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.720804
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.706647
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.693545
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.681491
(423.63, 14.83, 246.57) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.670474
