¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85335
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49447
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07425
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.74434
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.96291
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.99366
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.276933
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.653191
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.066698
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.523194
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0297
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43231
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85482
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66489
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.26031
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.3417
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.0575
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.0296
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.317951
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.6982
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.11633
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.578217
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0442
(425.06, 9.52, 363.04) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43375
