¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ƒ(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.653321
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.903544
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.604125
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.89155
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.163779
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.452921
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.764685
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.094903
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.445568
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.825886
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20799
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64232
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1524
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71565
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44228
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.54706
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.9611
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.31026
(395.71, 12.26, 328.13) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 24.78053
(395.71, 12.26, 328.13) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 24.96106
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.305604
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.479802
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.642922
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.816947
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.002972
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.202245
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.423423
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.655364
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.332757
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.604326
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.89132
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.159945
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.448824
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.760262
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.092385
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.442839
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.822949
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2017
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62554
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13395
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69525
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40126
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.67083
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.82734
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.10486
(395.71, 12.26, 328.13) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 24.82266
(395.71, 12.26, 328.13) (419.96, 7.96, 305.51) (1.16, 0.85, 1.38) Fence 24.8232
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.304204
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.481339
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.646198
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.820443
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.00671
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.20625
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.425495
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.657595
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.331548
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.604815
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.888192
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.156582
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.445205
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.756366
(395.71, 12.26, 328.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.090476
