¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.95021
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.93786
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.92821
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.92123
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.91693
(326.12, 7.59, 366.80) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 17.91532
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.911097
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.10166
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.305883
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.525251
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.76151
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.016562
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.292775
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.592801
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.919806
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.277533
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.670443
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.103995
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.584627
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12044
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72143
(326.12, 7.59, 366.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.40011
