¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ğ(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.483707
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1676
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.98474
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00448
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.49071
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.58347
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.47964
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.391162
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.646555
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.931022
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.241663
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.582642
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.967804
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.397398
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.879828
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.467552
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.14897
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.96143
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95676
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.41839
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.4361
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.02255
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.387016
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.640935
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.924914
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.234971
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.575275
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.958599
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.387137
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.866369
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.450908
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12979
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8539
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92046
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34493
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.29667
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.57726
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.382778
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.63517
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.918653
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.228109
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.567726
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.949159
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.376617
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.854055
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.43379
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11007
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.823
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.88361
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27038
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.18478
Ô(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.28243
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.378443
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.629264
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.912239
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.22108
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.559992
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.939484
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.365836
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.84197
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.416202
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.08981
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79131
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84591
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.19478
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.07167
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.03055
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.374014
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.623219
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.905675
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.213889
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.552077
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.92958
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.354802
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.829604
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.398152
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88282
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7589
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80733
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.13434
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.95736
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.77989
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.369493
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.618207
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.898962
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.206532
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.543984
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.919449
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.343513
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.816957
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.379647
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85839
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72575
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76791
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.07814
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84203
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.53065
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.364879
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.613204
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.8921
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.199015
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.535717
è(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.909088
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.331979
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.804031
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.360698
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83348
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69188
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.72766
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02084
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.72573
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.30528
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.360173
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.608102
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.885093
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.191339
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.527274
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.898506
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.320198
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.790835
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09277
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80804
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65736
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.68661
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9625
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.60908
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.11656
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.355379
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.602905
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.877936
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.183509
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.518662
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.887856
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.30818
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.777375
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07016
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78205
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.62213
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64482
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90317
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.52128
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.92762
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.350496
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.59761
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.870595
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.175524
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.509882
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.878155
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.295925
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.427635
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04719
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7556
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58625
ş(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60225
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.84283
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.44283
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.73858
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.7214
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.345524
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.592221
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.863115
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.167387
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.500935
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.868274
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.283439
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.407061
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02373
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72864
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54974
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.55897
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7816
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.36648
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.57268
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.37539
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.340467
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.58674
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.855492
(382.72, 13.77, 260.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.159101
