¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ë(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.499493
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.647536
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.806005
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.97643
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.160191
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.358871
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.574333
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.808806
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.065381
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.348012
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.659666
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.006798
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.390734
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.824547
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.316279
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.870457
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.509258
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.25332
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.13832
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.23779
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.63098
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.55621
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.726
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.883443
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.991439
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.106247
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.228506
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.358938
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.498367
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.646349
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.80473
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.97506
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.158712
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.357273
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.572598
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.806918
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.063396
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.345834
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.657241
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.004109
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.387637
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.820962
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.311774
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.865152
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.502599
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.24527
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.12879
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.22703
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.61754
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.5301
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.67212
ï(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.88272
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 3.990673
(372.99, 7.01, 361.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.105433
