¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
–(325.30, 7.54, 372.80) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 18.6366
(325.30, 7.54, 372.80) (360.45, 1.82, 380.24) (2.79, 2.64, 6.95) Truck 18.60036
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.59812
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.770516
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.955404
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.153454
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.366105
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.595041
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.842083
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.022348
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.193654
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.37463
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.566115
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.769032
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.984332
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.213161
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.4568
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.716675
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.378239
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48721
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12899
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86263
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07032
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.49942
(325.30, 7.54, 372.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.23095
