¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
’ (418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.146949
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.179168
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.212576
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.247206
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.292988
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.362837
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.435377
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.51074
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.656178
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.812034
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23591
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42214
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86893
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35754
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.88776
(418.20, 13.33, 327.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38311
(418.20, 13.33, 327.60) (407.06, 10.23, 299.05) (0.61, 0.87, 0.61) Tools 14.70082
(418.20, 13.33, 327.60) (407.06, 10.23, 299.05) (0.61, 0.87, 0.61) Tools 14.71308
(418.20, 13.33, 327.60) (407.06, 10.23, 299.05) (0.61, 0.87, 0.61) Tools 14.72755
(418.20, 13.33, 327.60) (407.06, 10.23, 299.05) (0.61, 0.87, 0.61) Tools 14.74425
(418.20, 13.33, 327.60) (407.06, 10.23, 299.05) (0.61, 0.87, 0.61) Tools 14.7632
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 17.39545
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 17.42308
(418.20, 13.33, 327.60) (407.44, 11.21, 296.08) (7.63, 2.69, 2.47) Cabin 17.45341
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.16313
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.143943
(418.20, 13.33, 327.60) (412.94, 8.53, 306.09) (2.93, 2.55, 2.85) Tools 5.129544
